"iter","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","best_nrounds","cv_logloss"
1,0.275293752613943,6,2,0.931314888526686,0.579511190881021,0.249460764462128,120,0.563579235613792
2,0.28175186985638,7,8,0.658487618900836,0.652048998395912,0.936783557990566,215,0.682625061629482
3,0.0929804650880396,6,1,0.629630287992768,0.508774162386544,4.9132970685605,172,0.86916562961698
4,0.250829811559524,4,2,0.87113322596997,0.998276339611039,1.64137034793384,134,0.732473686451128
5,0.196106200478971,10,5,0.873680558404885,0.902196656330489,0.854981952579692,459,0.644285915614473
6,0.160537825247739,4,8,0.958952017012052,0.543290300876833,2.4412744725123,171,0.821791874199571
7,0.223610611245967,5,7,0.896595604601316,0.934966634842567,0.0934370583854616,254,0.576594735348488
8,0.049053313198965,10,8,0.56666480912827,0.777292931685224,1.69742541853338,462,0.777665667534477
9,0.200527764216531,9,5,0.643874876084737,0.710689210915007,0.148316877894104,259,0.608423702416325
10,0.214468787370715,3,4,0.59733807190787,0.533818409545347,4.33614331530407,185,0.848821533453999
11,0.142745115112048,7,9,0.892054691328667,0.780718978261575,3.65853799856268,135,0.845920003329304
12,0.218542552979197,4,4,0.564436080865562,0.535360947134905,1.57630398403853,163,0.733486767426885
13,0.281054951674305,4,7,0.564544641762041,0.605695969425142,1.93227005889639,163,0.775517626177831
14,0.0840743590588681,8,10,0.536126555642113,0.774810206727125,1.66222995263524,406,0.773427088506903
15,0.144064918537624,8,2,0.526564741740003,0.740990724181756,0.448889855761081,213,0.592165685863149
16,0.2826042115991,4,5,0.765937218209729,0.579734927276149,3.78527801251039,102,0.844241872570546
17,0.293685664231889,6,6,0.556154120829888,0.574789497535676,3.014842486009,163,0.819874131544659
18,0.0440713348798454,5,3,0.871593859861605,0.749636440188624,0.726999862818047,528,0.635822963902267
19,0.147749153652694,8,6,0.865657738642767,0.97028243902605,0.162587417289615,275,0.573803457235113
20,0.17249649641104,7,1,0.942558843526058,0.66711566329468,2.41884070797823,171,0.776247531082227
21,0.272169102316257,4,9,0.75855552777648,0.594217164791189,2.22284763935022,170,0.807307205827844
22,0.0502259486401454,9,9,0.925965492497198,0.63485808914993,0.30192794976756,823,0.616803703858986
23,0.29677860138705,8,5,0.721398134133779,0.765372039051726,1.63753011031076,170,0.726516998508041
24,0.284533787441906,4,9,0.578940050210804,0.510725114261732,4.39214523648843,163,0.850559004420877
25,0.033906891848892,4,10,0.72116231941618,0.89938015374355,4.65302443131804,383,0.869979062773137
26,0.159121417461429,10,8,0.983866833616048,0.55516755010467,1.96089228498749,171,0.798768589822074
27,0.123159005460329,7,7,0.742293964722194,0.76989914290607,0.794233874185011,461,0.650800610628458
28,0.272664057963993,3,6,0.626229219720699,0.785616948734969,1.59973800531588,230,0.723629446542186
29,0.139621192149352,3,1,0.629844990093261,0.809475773479789,1.5348281012848,393,0.706865647893904
30,0.252441235398874,9,5,0.771007970441133,0.857426846749149,0.539056272245944,192,0.614377898661514
31,0.223902729153633,6,9,0.824937918805517,0.561650289339013,4.89667151705362,134,0.865611278613317
32,0.245205990967806,7,7,0.668209566152655,0.655524809379131,2.48451714054681,134,0.815030619615863
33,0.122551402016543,4,10,0.530474873143248,0.972869581310079,0.465373359620571,739,0.653998451464113
34,0.208699221527204,3,10,0.725655425107107,0.750012546195649,1.05886829085648,456,0.702780675378172
35,0.0111450182506815,7,10,0.919377516722307,0.567615249543451,4.65250373119488,824,0.878618008901571
36,0.251545663273428,6,8,0.787318667164072,0.934628910268657,1.48423203383572,188,0.732851435779827
37,0.0121269025956281,6,1,0.676675188704394,0.602524806046858,3.26609124429524,528,0.841083515037216
38,0.0702211021189578,3,9,0.773713039117865,0.962522945483215,4.50535238953307,192,0.863593448107708
39,0.272914408261422,5,9,0.946359296911396,0.943376799114048,4.95397896622308,171,0.86426091282264
40,0.187415806599893,5,3,0.744995285291225,0.568147912621498,2.15166610665619,81,0.784917772106085
41,0.120072179755662,7,1,0.585816056584008,0.892674721078947,1.96888461126946,230,0.735126171427812
42,0.136373759643175,10,6,0.771515497006476,0.726651707082056,0.709544477285817,360,0.641369149338262
43,0.0208549995301291,7,8,0.980733847944066,0.567871209699661,1.39903348172083,528,0.770786863098463
44,0.292326574993785,6,5,0.656841911026277,0.942610518424772,2.8241111128591,51,0.821598514149082
45,0.135207862178795,10,1,0.910257274052128,0.668356770067476,4.67569752712734,135,0.861828000216036
46,0.287697213026695,8,6,0.653527200222015,0.659637057571672,1.7920007253997,230,0.747881123546399
47,0.26744892259594,7,1,0.592726790579036,0.701891407370567,4.21003590454347,230,0.845807236963952
48,0.195593843145762,6,2,0.524173388374038,0.739538653520867,3.61204607179388,111,0.83615636298065
49,0.291580317004118,8,2,0.62283707363531,0.683950910111889,3.75367994653061,134,0.844239323369566
50,0.189463080125861,4,6,0.675553461071104,0.732845283811912,4.6199422609061,134,0.85555163938434
